Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
South Carolina,31048.2,32353.3,35850.2,41202.9,43987.6,47748.4,52688.4,57328.6,61346.8,65156.9,68000.3,71848,76158.3,82061.5,87247.7,90754.8,97393,103642.6,110251.8,115246.8,119301.4,124160.1,130337.4,135160.1,142616.6,150659.1,159362.5,161804.7,159835.6,163856.8,170087.2,175374.8,183014.9,191938.2,203920.9,212987.4
South Dakota,7661.1,7709,8123,9194,9588,10066.7,10669.3,11172.7,11790.1,12770.3,13736.1,14885.5,16104.5,17329.6,18053.8,19418.7,19000,20184.7,21050.8,22690.7,23512.8,26337.5,27445,29628.9,30659.4,31898.6,34701.6,36668.5,36193.1,37484.4,41541.5,43444.6,44814.9,46046.5,47752.3,48606.1
Tennessee,50264.9,52044.8,57073.1,63982.5,68425.5,73288.2,80715,87355.8,91579.2,94086.7,101208.4,111660.4,119567.6,129895.2,137061.2,143162.6,154412.9,167308.4,175819.8,181629.5,185774.7,195289.2,203833.7,218020.6,228099.4,240193.9,244252.4,251609,250544.4,255935.8,267659.1,283721.8,292803.9,303809,322663.6,335025.7
Texas,245235.4,260085.1,264882.7,288636.7,307223.6,295720.7,300667.1,327354,349951.9,378943.1,393573.9,416401.3,443775.4,475989.7,507725.3,551512.5,610256.5,645696.9,681335.4,738871,773006.7,787257.8,829764.4,906321,986401.3,1085294.9,1178583.1,1237394.9,1163401.3,1237196.8,1331220.6,1411378.7,1502249.8,1572818.4,1568457,1565632.2
Utah,17319.7,18365.5,19751.9,22147.1,24082.9,24282.1,25100,27324.7,28668.2,31249.3,33501,35602.3,38631.4,42591.1,46746.4,52016,57699.7,62291.4,66022.6,70291.8,73226,75998.8,79149.1,85701.9,94194.9,106124.2,114652.7,115985.4,113332.9,117960.5,124539.4,128721,134252.1,141259.7,149371.6,157883.3
Vermont,5435.9,5755.1,6268.9,6895.3,7524.2,8168.6,9156.6,10259.3,11120.3,11673.6,11732.6,12538.3,13026.9,13689.2,13891.4,14672.4,15415,16073.1,17159.3,18311.9,19274.1,20163.3,21130.1,22666,23509.3,24309.8,24696.8,25678,25867.8,27108.4,28135.1,28887.4,29098.8,29701.3,30729.6,31659
Virginia,66178.6,71465.1,79438.9,89767.8,97966.7,107347.9,117602.8,128087.7,137660.7,144970.6,151092.6,158990.2,167688.4,177057.3,186235.6,197756.4,217251.9,233095.5,249798.3,266886.4,284001.9,293275.9,309981.2,332250.6,360299.8,379129.4,392917.3,399032.1,408918.7,422902,432392.7,444950,455070,463477.6,484216.6,493877.9
Washington,58918.1,62933.3,67948.8,74169.5,77341.2,84014.9,90325.3,99051,108064,118640.2,125895,134469,142499.7,150805.2,155068.6,166539.8,193897.6,210205,230554.9,237831.8,239425.7,248189.1,258262.8,270115.2,296100.7,317167.2,346442.8,355677.8,353632,365551.9,379539,400863.3,419345,442201.3,470329.3,491358.2
West Virginia,19836.5,20510.6,20403.3,22171.6,22936.4,22880.1,23425.4,25876.3,26663.1,27754.3,29092.1,30410.3,31881.4,34592.1,36148.7,37224.2,38839.7,40086.1,41831,42606.9,43977.6,45433.7,46667.9,49271.7,53259,56530,58635.8,62066.7,62957.8,65274.1,68524.9,69399,71037.6,71919.2,70281,69721.4
Wisconsin,57494.4,59488.5,63169.9,70013.2,73820.4,77824,82013.1,89619.6,95216.5,100235.8,104773.9,112972.1,120023.9,129436.7,135311.3,143443.8,153240.7,162523,172258.1,180539,187939.3,194813.1,203134.7,215138.9,225697.9,235708.6,243766.7,244759.9,245539,254354.1,263881.6,274343.9,282384.6,293884.6,305816.5,313532.4
Wyoming,12703.1,12421.6,11578,12152.2,12204.5,10522.1,10369.6,10990.7,11436.8,12705.5,12977.4,13178.7,13790.6,14070.4,14608.1,15752.2,14724.3,14928.2,15710.9,17205.4,18660.7,19115.6,21027.5,23186.7,27177.6,32405.1,36602.5,42540.4,36042.2,37401.2,39370.7,38431.7,38922.5,39436.1,37721.5,35740.3
